batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
T Stubbs,death,439,199,220.60301507537687,193.21604176278174,38449.99231079357,2025
LS Livingstone,death,344,151,227.81456953642385,192.57322126310518,29078.55641072888,2025
RR Pant,death,1000,492,203.25203252032523,192.47572350195077,94698.05596295978,2025
AD Russell,death,1432,724,197.79005524861878,190.90173231964278,138212.85419942136,2025
JC Buttler,death,729,368,198.09782608695653,186.783803984771,68736.43986639573,2025
H Klaasen,death,553,277,199.63898916967509,185.5203368204401,51389.133299261906,2025
V Kohli,death,1507,803,187.67123287671234,183.3431711499002,147224.56643336985,2025
TH David,death,676,350,193.14285714285714,183.2603648424544,64141.127694859046,2025
SV Samson,death,780,407,191.64619164619165,183.18484458541997,74556.23174626593,2025
RK Singh,death,608,317,191.7981072555205,181.80503029661492,57632.194604026925,2025
MA Agarwal,death,252,122,206.55737704918033,181.34534367499973,22124.131928349965,2025
B Sai Sudharsan,death,232,112,207.14285714285717,180.74743802355744,20243.713058638434,2025
Shashank Singh,death,424,219,193.60730593607306,180.41336673830529,39510.52731568886,2025
JM Sharma,death,424,219,193.60730593607306,180.41336673830529,39510.52731568886,2025
Naman Dhir,death,247,121,204.13223140495867,180.3526500415885,21822.67065503221,2025
RG Sharma,death,1527,837,182.4372759856631,179.2605599453712,150041.0886742757,2025
Q de Kock,death,210,103,203.88349514563106,178.8554477338281,18422.111116584296,2025
C Green,death,204,102,200.0,177.4609293488408,18101.014793581762,2024
Ishan Kishan,death,354,187,189.3048128342246,177.24341256679566,33144.518149990785,2025
SA Yadav,death,821,451,182.03991130820398,177.10169072711201,79872.86251792751,2025
R Powell,death,234,121,193.38842975206612,176.30280580482838,21332.639502384234,2025
Ashutosh Sharma,death,272,143,190.2097902097902,176.07347132171986,25178.50639900594,2025
SM Curran,death,456,248,183.8709677419355,175.87768005212035,43617.66465292585,2025
SS Iyer,death,669,370,180.8108108108108,175.60210642692968,64972.77937796398,2025
MS Dhoni,death,3468,1965,176.4885496183206,175.51648991378747,344889.9026805924,2025
N Rana,death,427,233,183.26180257510728,175.27298074676654,40838.6045139966,2025
F du Plessis,death,568,314,180.89171974522293,175.08404798317105,54976.39106671571,2025
Tilak Varma,death,389,212,183.49056603773585,174.9834967557037,37096.501312209184,2025
MP Stoinis,death,857,480,178.54166666666666,174.84294215198517,83924.61223295289,2025
GJ Maxwell,death,607,338,179.58579881656803,174.52267781291806,58988.6651007663,2025
KL Rahul,death,839,472,177.75423728813558,174.24583432046117,82244.03379925767,2025
DA Warner,death,628,352,178.4090909090909,173.900725839402,61213.05549546951,2024
KD Karthik,death,1904,1091,174.51879010082493,173.19380376711842,188954.4399099262,2024
N Pooran,death,838,476,176.05042016806723,173.0668648866123,82379.82768602746,2025
Dhruv Jurel,death,410,229,179.03930131004367,172.94452369079232,39604.29592519144,2025
SO Hetmyer,death,933,534,174.7191011235955,172.33406084925056,92026.3884934998,2025
AK Markram,death,242,134,180.59701492537314,171.83593012979017,23026.014637391883,2025
MM Ali,death,279,156,178.84615384615387,171.61011422289303,26771.177818771313,2025
HH Pandya,death,1430,827,172.91414752116083,171.56105225253157,141880.9902128436,2025
DA Miller,death,1381,800,172.625,171.29320066334992,137034.56053067994,2025
KK Nair,death,275,155,177.41935483870967,170.96676243197157,26499.848176955595,2025
RD Gaikwad,death,263,150,175.33333333333334,169.9805733238569,25497.085998578536,2025
AT Rayudu,death,1179,692,170.3757225433526,169.3869962593609,117215.80141147775,2023
Abdul Samad,death,498,290,171.7241379310345,169.37387890479576,49118.42488239077,2025
S Dube,death,633,372,170.16129032258064,168.69440675410823,62754.31931252826,2025
Rashid Khan,death,503,296,169.93243243243242,168.33306585352804,49826.5874926443,2025
R Tewatia,death,794,471,168.57749469214437,167.79910680081952,79033.379303186,2025
M Shahrukh Khan,death,391,231,169.26406926406926,167.73364423051027,38746.47181724787,2025
PJ Cummins,death,451,269,167.65799256505576,166.93646196876315,44905.90826959729,2025
KS Williamson,death,460,275,167.27272727272725,166.7225277123156,45848.69512088679,2024
V Shankar,death,515,308,167.2077922077922,166.7188989436022,51349.420874629475,2025
SN Khan,death,280,168,166.66666666666669,166.28587136779868,27936.02638979018,2023
BA Stokes,death,207,125,165.6,165.82523281030745,20728.154101288434,2023
JC Archer,death,217,132,164.3939393939394,165.34096585346362,21825.007492657198,2025
A Badoni,death,514,313,164.21725239616615,164.89902663421037,51613.39533650785,2025
MK Lomror,death,230,142,161.9718309859155,164.3076042788009,23331.679807589728,2024
Abhishek Sharma,death,176,110,160.0,163.84903439790295,18023.393783769327,2025
R Parag,death,557,343,162.39067055393585,163.7075518662061,56151.690290108694,2025
S Dhawan,death,668,418,159.80861244019138,161.8012955717636,67632.94154899719,2024
AM Rahane,death,509,321,158.5669781931464,161.40729493925127,51811.74167549966,2025
SE Rutherford,death,197,128,153.90625,161.25975811996926,20641.249039356066,2025
Shubman Gill,death,437,277,157.76173285198556,161.20167853951764,44652.864955446385,2025
MR Marsh,death,208,135,154.07407407407408,161.17373332343257,21758.453998663397,2025
WP Saha,death,557,353,157.79036827195466,160.74719830623854,56743.761002102205,2024
KH Pandya,death,706,447,157.94183445190157,160.42225759404934,71708.74914454005,2025
RA Tripathi,death,219,149,146.9798657718121,157.86017382048686,23521.165899252544,2025
AR Patel,death,967,623,155.2166934189406,157.82891939653695,98327.41678404252,2025
SN Thakur,death,220,151,145.69536423841058,157.24558593546985,23744.083476255946,2025
MK Pandey,death,713,466,153.00429184549355,156.8966976927176,73113.8611248064,2025
Mandeep Singh,death,410,274,149.63503649635038,156.5257397960969,42888.052704130554,2023
Shahbaz Ahmed,death,266,183,145.3551912568306,156.11801739778048,28569.597183793827,2025
Washington Sundar,death,281,193,145.5958549222798,155.9623426548344,30100.73213238304,2025
DJ Hooda,death,466,315,147.93650793650795,154.93825371524255,48805.549920301404,2025
RA Jadeja,death,1818,1195,152.13389121338912,154.11698972283148,184169.8027187836,2025
Harpreet Brar,death,204,149,136.91275167785236,153.56217955114587,22880.764753120737,2025
KV Sharma,death,248,181,137.01657458563537,152.21312510065596,27550.57564321873,2025
SP Narine,death,156,121,128.92561983471074,152.00374038426764,18392.452586496383,2025
JO Holder,death,174,133,130.82706766917295,151.93153352357334,20206.893958635254,2023
HV Patel,death,203,153,132.6797385620915,151.5388120774785,23185.43824785421,2025
R Dhawan,death,168,132,127.27272727272727,150.5819297088853,19876.81472157286,2023
JD Unadkat,death,174,138,126.08695652173914,149.68402563121276,20656.39553710736,2024
KM Jadhav,death,565,401,140.89775561097258,149.2399345480032,59845.21375374928,2023
RD Chahar,death,125,108,115.74074074074075,148.35454760827895,16022.291141694126,2024
K Rabada,death,161,135,119.25925925925927,147.14388257716394,19864.424147917132,2025
R Ashwin,death,476,355,134.0845070422535,145.5733345285584,51678.53375763824,2025
UT Yadav,death,205,188,109.04255319148936,138.38453779213893,26016.29310492212,2024
Mohammed Siraj,death,112,121,92.56198347107438,138.29657527523338,16733.88560830324,2025
PP Chawla,death,453,371,122.10242587601078,137.46620081147097,50999.96050105573,2024
A Mishra,death,260,248,104.83870967741935,132.12768005212035,32767.664652925847,2023
Kuldeep Yadav,death,181,196,92.3469387755102,129.52828450340888,25387.54376266814,2025
B Kumar,death,286,302,94.70198675496688,123.09402522579664,37174.39561819059,2025
