batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
A Ashish Reddy,death,214,146,146.57534246575344,152.48790441925598,22263.234045211375,2016
A Badoni,death,514,313,164.21725239616615,161.41412481686277,50522.62106767805,2025
A Choudhary,death,25,20,125.0,153.94593212542455,3078.918642508491,2017
A Kamboj,death,42,35,120.0,151.29728437811426,5295.404953233999,2026
A Kumble,death,34,42,80.95238095238095,143.45306078888726,6025.028553133265,2010
A Manohar,death,148,94,157.4468085106383,157.0878041763539,14766.253592577266,2025
A Mishra,death,259,248,104.43548387096774,127.53583613310673,31628.887361010467,2023
A Nehra,death,39,60,65.0,135.2877466939854,8117.264801639125,2016
A Nortje,death,49,50,98.0,144.8913281916991,7244.566409584955,2026
A Raghuvanshi,death,78,53,147.16981132075472,154.83215889905756,8206.10442165005,2026
A Symonds,death,292,182,160.43956043956044,158.616380389831,28868.18123094924,2011
AA Bilakhia,death,36,33,109.09090909090908,149.99287459195736,4949.7648615345925,2010
AA Jhunjhunwala,death,69,50,138.0,153.05459349782154,7652.729674891078,2012
AB Agarkar,death,123,91,135.16483516483518,149.99431960477722,13649.483084034728,2013
AB Dinda,death,20,40,50.0,138.71649109347354,5548.659643738942,2017
AB McDonald,death,80,65,123.07692307692308,148.4552900267934,9649.59385174157,2013
AB de Villiers,death,1837,829,221.59227985524728,209.27575723336548,173489.60274645998,2021
AC Gilchrist,death,63,32,196.875,162.54790928178977,5201.533097017273,2013
AC Voges,death,85,56,151.78571428571428,155.7704199480728,8723.143517092078,2010
AD Mascarenhas,death,49,40,122.50000000000001,151.05691662538842,6042.276665015537,2013
AD Mathews,death,423,274,154.3795620437956,155.43363626218826,42588.81633583958,2017
AD Nath,death,22,25,88.0,149.08352457711945,3727.088114427986,2019
AD Russell,death,1417,724,195.71823204419888,187.48463047548017,135738.87246424766,2025
AF Milne,death,17,20,85.0,150.2250018928664,3004.500037857328,2021
AJ Finch,death,282,178,158.42696629213484,157.63639519293912,28059.27834434316,2018
AJ Tye,death,70,59,118.64406779661016,148.02510002742628,8733.48090161815,2019
AK Markram,death,236,134,176.11940298507463,164.73670336463917,22074.71825086165,2025
AL Menaria,death,91,78,116.66666666666667,145.415294531012,11342.392973418935,2013
AM Nayar,death,307,195,157.43589743589743,157.1753215563238,30649.18770348314,2013
AM Rahane,death,508,321,158.25545171339564,157.74878954838428,50637.361445031354,2023
AN Ahmed,death,36,26,138.46153846153845,154.74378012201936,4023.3382831725035,2015
AP Dole,death,33,20,165.0,157.6668623579827,3153.337247159654,2010
AP Tare,death,40,26,153.84615384615387,156.55373487315057,4070.3971067019147,2014
AR Patel,death,957,623,153.6115569823435,154.39899194005656,96190.57197865524,2025
AS Joseph,death,24,29,82.75862068965517,147.31417592395658,4272.1111017947405,2023
AS Rajpoot,death,25,36,69.44444444444444,143.28301041976744,5158.1883751116275,2020
AS Raut,death,120,103,116.50485436893203,142.94756847975262,14723.59955341452,2011
AS Yadav,death,39,29,134.48275862068965,154.01060449538517,4466.30753036617,2008
AT Carey,death,32,29,110.34482758620689,150.88560449538517,4375.68253036617,2020
AT Rayudu,death,1170,692,169.07514450867052,166.4017761070646,115150.0290660887,2023
Abdul Samad,death,512,305,167.86885245901638,163.59675081393257,49897.00899824943,2026
Abhishek Sharma,death,176,110,160.0,158.0274603507091,17383.020638578,2025
Abishek Porel,death,57,32,178.125,159.90473747562237,5116.951599219916,2025
Aman Hakim Khan,death,59,41,143.90243902439025,154.65413308036557,6340.819456294988,2023
Aniket Verma,death,142,76,186.8421052631579,165.30765832828885,12563.382032949952,2026
Ankit Sharma,death,48,34,141.1764705882353,154.57805854570427,5255.653990553945,2017
