batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
A Badoni,middle,476,376,126.59574468085107,126.20802102299716,47454.21590464693,2026
A Manohar,middle,132,123,107.31707317073172,118.44270441550746,14568.452643107417,2025
A Mhatre,middle,156,84,185.71428571428572,143.60136202197626,12062.514409846006,2026
A Raghuvanshi,middle,328,233,140.7725321888412,133.79621496292378,31174.51808636124,2026
AD Russell,middle,1174,767,153.0638852672751,147.46858628288084,113108.4056789696,2025
AK Markram,middle,848,652,130.06134969325154,129.00210153970647,84109.37020388863,2026
AM Rahane,middle,2015,1650,122.12121212121212,122.47413550359425,202082.32358093053,2026
AR Patel,middle,880,743,118.43876177658143,119.8984861451294,89084.57520583115,2026
Abdul Samad,middle,296,243,121.81069958847736,123.43557078568807,29994.8437009222,2026
Abhishek Sharma,middle,644,382,168.58638743455495,154.01175044043566,58832.48866824642,2026
Abishek Porel,middle,287,200,143.5,134.59437975729463,26918.875951458926,2025
Aniket Verma,middle,147,91,161.53846153846155,136.93979022423557,12461.520910405436,2026
Arshad Khan,middle,39,30,130.0,126.06568890725056,3781.9706672175166,2025
Ashutosh Sharma,middle,140,103,135.92233009708738,129.0764429668838,13294.873625589033,2026
Azmatullah Omarzai,middle,70,56,125.0,125.35768925948756,7020.030598531303,2025
B Kumar,middle,34,48,70.83333333333334,114.66987656021142,5504.154074890148,2025
B Sai Sudharsan,middle,920,639,143.97496087636932,139.64601918960597,89233.8062621582,2026
C Connolly,middle,65,48,135.41666666666669,127.42707820630194,6116.4997539024935,2026
C Green,middle,330,257,128.4046692607004,127.13446903568888,32673.558542172043,2026
D Brevis,middle,321,207,155.07246376811594,140.70840797047606,29126.640449888546,2025
D Ferreira,middle,56,36,155.55555555555557,130.15056278844753,4685.420260384111,2026
D Padikkal,middle,904,700,129.14285714285714,128.34053631746522,89838.37542222565,2026
DA Miller,middle,1623,1332,121.84684684684686,122.30830386649075,162914.66075016567,2026
DJ Hooda,middle,865,688,125.7267441860465,125.6679275244976,86459.53413685434,2025
DL Chahar,middle,61,39,156.4102564102564,130.61871796637342,5094.130000688563,2026
DP Conway,middle,520,341,152.4926686217009,142.65817164949883,48646.4365324791,2025
Dhruv Jurel,middle,340,255,133.33333333333331,129.9217333425142,33130.04200234112,2026
F du Plessis,middle,1920,1522,126.14980289093299,126.07150844736832,191880.83585689458,2025
GD Phillips,middle,48,46,104.34782608695652,121.43062242378164,5585.8086314939555,2026
GJ Maxwell,middle,1776,1163,152.7085124677558,148.79586156416153,173049.58699911984,2025
H Klaasen,middle,993,633,156.87203791469196,149.4743719856659,94617.27746692652,2026
HH Pandya,middle,1199,889,134.87064116985377,133.17784133222452,118395.10094434759,2026
HV Patel,middle,67,76,88.1578947368421,114.99918820712685,8739.938303741641,2025
Harpreet Brar,middle,40,54,74.07407407407408,114.31638555876053,6173.084820173069,2025
Harshit Rana,middle,29,21,138.0952380952381,126.68879631542305,2660.464722623884,2025
Ishan Kishan,middle,1449,1060,136.69811320754718,134.9520159395469,143049.1368959197,2026
J Fraser-McGurk,middle,87,49,177.55102040816325,135.92122952512858,6660.1402467313,2025
J Overton,middle,47,30,156.66666666666666,129.62124446280612,3888.6373338841836,2026
JC Archer,middle,45,37,121.62162162162163,124.84818967298006,4619.383017900262,2025
JC Buttler,middle,1802,1251,144.04476418864908,141.53857538321674,177064.75780440413,2026
JM Bairstow,middle,653,464,140.73275862068965,136.21362671340117,63203.12279501814,2025
JM Sharma,middle,553,395,140.0,135.1945423798837,53401.84424005406,2026
JP Inglis,middle,122,76,160.5263157894737,135.29439115915636,10282.373728095883,2025
K Rabada,middle,53,63,84.12698412698413,115.36736435709835,7268.143954497196,2026
KA Jamieson,middle,12,22,54.54545454545454,118.27087559507548,2601.9592630916604,2025
KH Pandya,middle,969,807,120.07434944237917,121.12253493426286,97745.88569195013,2026
