bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
A Kamboj,middle,85,54,4,9.444444444444445,13.5,7.943320482923223,8.258511052277035,2026
A Nortje,middle,324,236,12,8.23728813559322,19.666666666666668,7.916210673428961,74.58113791510101,2026
A Zampa,middle,435,336,16,7.767857142857143,21.0,7.679636158658912,136.673141580615,2025
AD Russell,middle,1221,813,51,9.011070110701107,15.941176470588236,8.724094047864963,1222.373342319689,2025
AK Markram,middle,226,150,5,9.04,30.0,8.185179131153282,12.522633696540476,2026
AM Ghazanfar,middle,46,24,1,11.5,24.0,7.962953425789418,0.5148843376028588,2026
AR Patel,middle,2812,2393,96,7.050564145424153,24.927083333333332,7.086509582785117,5332.046695003498,2026
AS Roy,middle,149,126,8,7.095238095238095,15.75,7.3579028045105375,35.662335718697406,2026
Abhinandan Singh,middle,35,24,1,8.75,24.0,7.66158356277572,0.5351374120514856,2026
Abhishek Sharma,middle,349,252,10,8.30952380952381,25.2,7.968426846192131,51.453066949585725,2025
Akash Deep,middle,208,114,4,10.94736842105263,28.5,8.78927767070512,7.463639500052026,2025
Akash Madhwal,middle,223,138,10,9.695652173913043,13.8,8.42608648723088,48.65841344274416,2025
Akash Singh,middle,75,48,2,9.375,24.0,7.892538272625031,2.077912001628522,2025
Arshdeep Singh,middle,431,306,15,8.450980392156863,20.4,8.091590419656452,114.0072534762785,2026
Ashok Sharma,middle,26,24,0,6.5,999.0,7.415008220309966,0.0,2026
Ashwani Kumar,middle,75,54,4,8.333333333333332,13.5,7.702356627501536,8.516873883218143,2025
Avesh Khan,middle,612,462,25,7.948051948051948,18.48,7.823267580285971,327.54855611193733,2026
Azmatullah Omarzai,middle,106,78,6,8.153846153846153,13.0,7.7065450558530495,19.15255136124834,2025
B Kumar,middle,602,434,11,8.322580645161292,39.45454545454545,8.076131637913964,61.42792394207938,2026
Brijesh Sharma,middle,39,30,3,7.800000000000001,10.0,7.563941334435033,4.878409068564799,2026
C Bosch,middle,66,36,0,11.0,999.0,8.06877402704711,0.0,2026
C Green,middle,335,252,13,7.976190476190476,19.384615384615383,7.780507383104883,89.05588875920992,2026
C Sakariya,middle,175,120,6,8.75,20.0,7.993291429358357,18.465484626005715,2025
CV Varun,middle,1519,1236,67,7.373786407766991,18.44776119402985,7.394749685707815,2488.914538320618,2026
DJ Hooda,middle,347,264,6,7.886363636363637,44.0,7.73395817047469,19.08466489558744,2025
DL Chahar,middle,313,246,8,7.634146341463415,30.75,7.587044898521277,34.58527048536935,2026
DS Rathi,middle,284,216,10,7.888888888888889,21.6,7.717486131989982,53.12610777497827,2026
E Malinga,middle,158,114,8,8.31578947368421,14.25,7.8184038842973544,33.56183741377311,2026
Fazalhaq Farooqi,middle,115,72,2,9.583333333333334,36.0,8.081973034636265,2.0292074632909354,2025
G Coetzee,middle,182,108,5,10.11111111111111,21.6,8.448471287946807,12.132372414667943,2025
GJ Maxwell,middle,932,702,30,7.965811965811966,23.4,7.870553846430193,468.836129197395,2025
HH Pandya,middle,1301,958,38,8.148225469728601,25.210526315789473,8.043266955982553,736.0690665123861,2026
HV Patel,middle,1592,1230,60,7.765853658536585,20.5,7.733253894910795,1908.6402956087425,2026
Harpreet Brar,middle,741,618,30,7.194174757281553,20.6,7.274153505839955,507.2755196927771,2025
