bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
A Mishra,middle,3188,2712,132,7.053097345132743,20.545454545454547,7.096734550752982,4244.746018266744,2024
SP Narine,middle,2644,2376,99,6.6767676767676765,24.0,6.755314833770453,4197.141175058521,2025
Rashid Khan,middle,2573,2277,107,6.779973649538867,21.2803738317757,6.853327013238872,4041.5865601148257,2025
R Ashwin,middle,3385,2857,111,7.108855442772138,25.73873873873874,7.146774946611934,3767.580080988233,2025
Harbhajan Singh,middle,2791,2370,101,7.065822784810127,23.465346534653467,7.1142766582850925,3380.802809607668,2021
RA Jadeja,middle,4258,3384,140,7.549645390070922,24.17142857142857,7.557391465343942,3243.519200808359,2025
AR Patel,middle,2783,2339,94,7.138948268490808,24.882978723404257,7.182233561162933,3064.0520833553705,2025
YS Chahal,middle,3555,2744,141,7.77332361516035,19.46099290780142,7.767558088244797,2602.9412876519373,2025
PP Ojha,middle,1617,1373,66,7.066278222869628,20.803030303030305,7.145385258609464,2065.6348358860005,2015
PP Chawla,middle,3946,2969,139,7.974402155607949,21.359712230215827,7.956355636412965,1984.6031855523402,2024
M Muralitharan,middle,1224,1105,41,6.6461538461538465,26.951219512195124,6.805893495626581,1795.2305274872222,2014
KH Pandya,middle,2020,1650,62,7.345454545454546,26.612903225806452,7.382535682050102,1744.7669719069977,2025
R Bhatia,middle,1698,1393,61,7.313711414213927,22.83606557377049,7.360760208281661,1676.4789269997088,2017
JJ Bumrah,middle,966,870,46,6.662068965517242,18.91304347826087,6.853916833451109,1646.0482561957224,2025
CV Varun,middle,1521,1212,68,7.52970297029703,17.823529411764707,7.552189101836181,1525.1543400382304,2025
SK Warne,middle,1079,942,41,6.872611464968153,22.975609756097562,7.01549125375892,1453.9319045026523,2011
Imran Tahir,middle,1151,941,57,7.339001062699255,16.50877192982456,7.400255049774484,1411.1962086468018,2021
SK Trivedi,middle,1281,1074,41,7.156424581005586,26.195121951219512,7.239945849130837,1301.6988913602083,2013
DJ Bravo,middle,1934,1507,64,7.700066357000664,23.546875,7.698705923721551,1264.5519468095167,2022
Shakib Al Hasan,middle,981,840,38,7.007142857142857,22.105263157894736,7.138164434416045,1222.2441246198064,2021
