batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
TM Head,powerplay,673,365,184.38356164383563,164.08814230523586,59892.17194141109,2025
SP Narine,powerplay,1150,671,171.3859910581222,161.20528174794288,108168.74405286968,2025
PD Salt,powerplay,722,409,176.52811735941322,160.27881839484115,65554.03672349003,2025
Abhishek Sharma,powerplay,1018,629,161.8441971383148,153.44969891731998,96519.86061899427,2025
YBK Jaiswal,powerplay,1378,864,159.49074074074073,153.39266955118256,132531.26649222174,2025
Priyansh Arya,powerplay,384,217,176.95852534562212,153.0211040826337,33205.57958593152,2025
JM Bairstow,powerplay,944,623,151.52487961476726,145.57691421926884,90694.41755860449,2025
P Simran Singh,powerplay,872,583,149.57118353344768,143.81839131859292,83846.12213873967,2025
PP Shaw,powerplay,1347,917,146.89203925845146,143.33912301025805,131441.97580040662,2024
MR Marsh,powerplay,518,347,149.27953890489914,141.15137185092917,48979.52603227242,2025
RD Rickelton,powerplay,297,193,153.8860103626943,140.2284997518022,27064.100452097824,2025
Abishek Porel,powerplay,316,208,151.9230769230769,139.7299029472016,29063.81981301793,2025
JC Buttler,powerplay,1688,1201,140.5495420482931,138.6222700945455,166485.34638354916,2025
DA Warner,powerplay,3318,2389,138.88656341565508,137.9721129403083,329615.3778143965,2024
RA Tripathi,powerplay,1013,721,140.499306518724,137.57850206564416,99194.09998932944,2025
SA Yadav,powerplay,936,668,140.1197604790419,137.1080649797906,91588.18740650013,2025
F du Plessis,powerplay,2281,1670,136.5868263473054,135.56673818313277,226396.45276583172,2025
GJ Maxwell,powerplay,433,309,140.1294498381877,134.98978468066454,41711.84346632534,2025
B Sai Sudharsan,powerplay,674,488,138.11475409836063,134.89796570124747,65830.20726220877,2025
KR Mayers,powerplay,282,200,141.0,134.02450100614564,26804.900201229128,2023
R Ravindra,powerplay,275,198,138.88888888888889,132.93919699110114,26321.961004238026,2025
Ishan Kishan,powerplay,1337,997,134.1023069207623,132.92380986003195,132525.03843045185,2025
WP Saha,powerplay,1389,1045,132.91866028708134,131.9757432951472,137914.6517434288,2024
Shubman Gill,powerplay,1714,1304,131.44171779141104,130.85758005482597,170638.28439149307,2025
Q de Kock,powerplay,1931,1476,130.82655826558266,130.3757758964548,192434.6452231673,2025
JJ Roy,powerplay,380,288,131.94444444444443,129.9381155788079,37422.17728669667,2023
BA Stokes,powerplay,240,181,132.5966850828729,129.68451549201643,23472.897304054975,2023
VR Iyer,powerplay,596,457,130.41575492341357,129.39086819247834,59131.6267639626,2025
KK Nair,powerplay,613,474,129.32489451476795,128.64955549326152,60979.88930380596,2025
Rahmanullah Gurbaz,powerplay,252,194,129.89690721649484,128.45127005700064,24919.546391058124,2025
RD Gaikwad,powerplay,1196,929,128.740581270183,128.4409215256495,119321.61609732837,2025
M Vohra,powerplay,691,540,127.96296296296296,127.71594648980846,68966.61110449657,2023
AK Markram,powerplay,366,287,127.52613240418118,127.33018563133112,36543.76327619203,2025
KL Rahul,powerplay,2196,1729,127.00983227299017,127.01389341755224,219607.02171894783,2025
DP Conway,powerplay,463,367,126.15803814713897,126.47231111544667,46415.338179368926,2025
V Kohli,powerplay,3127,2476,126.2924071082391,126.34895381257783,312840.0096399427,2025
RG Sharma,powerplay,2386,1905,125.249343832021,125.42033273275926,238925.7338559064,2025
D Padikkal,powerplay,829,664,124.84939759036145,125.35856528062298,83238.08734633366,2025
MP Stoinis,powerplay,296,240,123.33333333333334,125.02227364195059,30005.345674068143,2025
MM Ali,powerplay,233,191,121.98952879581151,124.57749463544312,23794.301475369637,2025
SV Samson,powerplay,1380,1112,124.10071942446044,124.55015274577612,138499.76985330303,2025
RR Pant,powerplay,441,359,122.84122562674096,124.34669123874465,44640.462154709334,2025
N Rana,powerplay,734,595,123.36134453781513,124.28905711001038,73951.98898045617,2025
MA Agarwal,powerplay,1418,1150,123.30434782608694,123.85911140922832,142437.97812061256,2025
RM Patidar,powerplay,206,172,119.76744186046511,123.68225914639316,21273.348573179625,2025
S Dhawan,powerplay,3415,2771,123.24070732587514,123.49707182849488,342210.3860367593,2024
AM Rahane,powerplay,2557,2083,122.7556409025444,123.13175663708202,256483.44907504186,2025
Mandeep Singh,powerplay,633,552,114.67391304347827,117.96516010965195,65116.76838052787,2023
MK Pandey,powerplay,1133,990,114.44444444444444,116.56285748105736,115397.22890624679,2025
SS Iyer,powerplay,979,867,112.91810841983852,115.56682324504055,100196.43575345016,2025
DJ Hooda,powerplay,164,164,100.0,114.86208901774248,18837.382598909768,2025
HH Pandya,powerplay,169,172,98.25581395348837,113.73602258725339,19562.595885007584,2025
AT Rayudu,powerplay,777,728,106.73076923076923,111.10969870954553,80887.86066054914,2023
KS Williamson,powerplay,483,480,100.62500000000001,108.39676529773274,52030.44734291171,2024
KD Karthik,powerplay,397,405,98.0246913580247,107.61950479745167,43585.89944296792,2024
