batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
A Badoni,powerplay,47,61,77.04918032786885,113.74304808299611,6938.3259330627625,2026
A Chopra,powerplay,27,39,69.23076923076923,115.88983038139746,4519.703384874501,2009
A Mhatre,powerplay,207,115,180.0,145.5426461588613,16737.404308269048,2026
A Raghuvanshi,powerplay,212,131,161.8320610687023,139.93319113265952,18331.248038378395,2026
A Symonds,powerplay,72,82,87.8048780487805,114.14519967237186,9359.906373134492,2011
AA Bilakhia,powerplay,23,31,74.19354838709677,118.2222137577301,3664.888626489633,2009
AA Jhunjhunwala,powerplay,24,34,70.58823529411765,117.11013235479042,3981.7445000628745,2011
AB de Villiers,powerplay,741,614,120.6840390879479,121.77777541316068,74771.55410368065,2021
AC Blizzard,powerplay,99,76,130.26315789473685,126.63549929611442,9624.297946504696,2012
AC Gilchrist,powerplay,1372,1026,133.7231968810916,132.3654547987281,135806.95662349503,2013
AD Hales,powerplay,113,80,141.25,129.88443748817093,10390.754999053675,2018
AG Paunikar,powerplay,48,55,87.27272727272727,116.87288123698802,6428.008468034342,2011
AJ Finch,powerplay,903,790,114.30379746835445,116.46519828349949,92007.5066439646,2022
AK Markram,powerplay,458,347,131.98847262247838,129.5539120096808,44955.207467359236,2026
AM Nayar,powerplay,60,71,84.50704225352112,114.35421168889852,8119.149029911795,2014
AM Rahane,powerplay,2631,2130,123.52112676056338,123.66375067064388,263403.78892847145,2026
AP Tare,powerplay,226,201,112.43781094527363,118.73287956880556,23865.308793329918,2017
AR Patel,powerplay,72,65,110.76923076923077,121.60853965095002,7904.555077311751,2026
AT Rayudu,powerplay,772,728,106.04395604395604,110.09557996668147,80149.58221574411,2022
Abhishek Sharma,powerplay,1117,676,165.23668639053255,156.27809449970954,105643.99188180365,2026
Abishek Porel,powerplay,316,208,151.9230769230769,139.00302806264764,28912.62983703071,2025
Anirudh Singh,powerplay,18,20,90.0,121.94521074068373,2438.9042148136746,2010
Ankit Sharma,powerplay,27,23,117.3913043478261,124.39550600572021,2861.0966381315648,2014
Anmolpreet Singh,powerplay,116,91,127.47252747252746,125.9378332491154,11460.3428256695,2024
Anuj Rawat,powerplay,83,88,94.31818181818183,115.61208589839931,10173.86355905914,2023
Atharva Taide,powerplay,157,103,152.4271844660194,134.62490036660068,13866.36473775987,2025
Azhar Mahmood,powerplay,22,24,91.66666666666666,121.54438497373062,2917.0652393695345,2013
B Chipli,powerplay,55,75,73.33333333333333,110.80822336758149,8310.616752568612,2013
B Indrajith,powerplay,19,27,70.37037037037037,118.55054193354506,3200.8646322057166,2022
B Sai Sudharsan,powerplay,742,544,136.39705882352942,133.44820068910283,72595.82117487195,2026
BA Stokes,powerplay,240,181,132.5966850828729,128.7718625245931,23307.70711695135,2023
BB McCullum,powerplay,1547,1217,127.11585866885784,126.85426367510411,154381.6388926017,2018
BB Samantray,powerplay,15,21,71.42857142857143,119.99176069095836,2519.8269745101256,2013
BJ Hodge,powerplay,148,162,91.35802469135803,109.8549588494314,17796.503333607885,2011
BR Dunk,powerplay,40,35,114.28571428571428,123.55747960542176,4324.511786189762,2014
C Green,powerplay,197,124,158.8709677419355,138.30163106347024,17149.40225187031,2026
C Munro,powerplay,131,91,143.95604395604394,131.18258849387067,11937.61555294223,2019
CA Lynn,powerplay,773,537,143.94785847299815,138.9593173623593,74621.15342358693,2021
CA Pujara,powerplay,215,228,94.2982456140351,108.55371231500474,24750.246407821083,2014
CH Gayle,powerplay,2390,1766,135.33408833522086,134.32851622093168,237224.15964616532,2021
CJ Anderson,powerplay,52,61,85.24590163934425,115.69617308299611,7057.4665580627625,2017
CJ Ferguson,powerplay,17,24,70.83333333333334,119.26127995089956,2862.2707188215895,2012
CL White,powerplay,107,116,92.24137931034483,112.92032253777171,13098.757414381518,2013
CM Gautam,powerplay,68,61,111.47540983606557,121.94617308299611,7438.7165580627625,2015
D Brevis,powerplay,84,70,120.0,123.84234078961134,8668.963855272794,2025
D Padikkal,powerplay,885,691,128.0752532561505,127.44720125197178,88066.0160651125,2026
DA Miller,powerplay,98,110,89.0909090909091,112.19088625982624,12340.997488580886,2024
DA Warner,powerplay,3302,2389,138.2168271243198,137.23615337045163,327857.1704020089,2024
DB Das,powerplay,58,53,109.43396226415094,121.84766253728631,6457.926114476175,2012
DB Ravi Teja,powerplay,53,58,91.37931034482759,117.46332138042294,6812.87264006453,2011
DJ Bravo,powerplay,123,110,111.81818181818181,120.38760757130164,13242.63683284318,2015
DJ Harris,powerplay,57,64,89.0625,116.28656490056758,7442.340153636325,2012
DJ Hooda,powerplay,164,164,100.0,113.69977802018664,18646.76359531061,2025
DJ Hussey,powerplay,134,115,116.52173913043478,121.99425906208712,14029.33979214002,2014
DJ Jacobs,powerplay,83,91,91.20879120879121,114.39937171065387,10410.342825669502,2012
DJ Mitchell,powerplay,97,78,124.35897435897436,124.97516596793774,9748.062945499143,2024
DJ Thornely,powerplay,4,20,20.0,115.43358283370699,2308.6716566741397,2008
DJM Short,powerplay,50,60,83.33333333333334,115.36556984018434,6921.93419041106,2018
DP Conway,powerplay,463,367,126.15803814713897,125.83313222285943,46180.75952578941,2025
DPMD Jayawardene,powerplay,611,501,121.9560878243513,122.87100619144684,61558.374101914866,2013
DR Smith,powerplay,1209,970,124.63917525773196,124.73666979334506,120994.5696995447,2017
Dhruv Jurel,powerplay,52,28,185.71428571428572,132.81713143160093,3718.879680084826,2026
E Lewis,powerplay,420,286,146.85314685314685,138.08361810654262,39491.91477847119,2022
EJG Morgan,powerplay,176,192,91.66666666666666,108.57421268539278,20846.248835595412,2021
F du Plessis,powerplay,2276,1670,136.2874251497006,135.1304130344488,225667.7897675295,2025
FH Allen,powerplay,80,39,205.1282051282051,138.5394030309701,5403.036718207834,2026
FY Fazal,powerplay,76,78,97.43589743589743,117.28285827563005,9148.062945499143,2011
G Gambhir,powerplay,2264,1862,121.58968850698173,121.93399139973116,227041.0919862994,2018
GC Smith,powerplay,374,386,96.89119170984456,106.39969072159552,41070.28061853587,2011
GH Vihari,powerplay,59,90,65.55555555555556,106.37972038332282,9574.174834499054,2015
GJ Bailey,powerplay,131,127,103.14960629921259,116.51621214051863,14797.558941845866,2016
GJ Maxwell,powerplay,433,309,140.1294498381877,134.36154823263294,41517.71840388358,2024
Gurkeerat Singh,powerplay,35,37,94.5945945945946,120.33715650537502,4452.474790698876,2019
H Klaasen,powerplay,91,69,131.8840579710145,126.9629557168447,8760.443944462284,2026
HC Brook,powerplay,96,84,114.28571428571428,121.92910505106454,10242.044824289422,2023
HH Gibbs,powerplay,447,416,107.45192307692308,113.1231101624337,47059.21382757242,2012
HH Pandya,powerplay,177,178,99.43820224719101,112.91748072184184,20099.311568487847,2026
HM Amla,powerplay,261,199,131.15577889447238,128.21883327220053,25515.547821167904,2017
Harbhajan Singh,powerplay,62,51,121.56862745098039,124.46431020019108,6347.679820209745,2018
Harpreet Singh,powerplay,30,29,103.44827586206897,122.40276923770985,3549.6803078935855,2024
IK Pathan,powerplay,92,69,133.33333333333331,127.3417435956326,8786.58030809865,2013
IR Jaggi,powerplay,25,37,67.56756756756756,116.02681167778881,4292.992032078186,2017
Ishan Kishan,powerplay,1393,1032,134.98062015503876,133.4296824036243,137699.43224054028,2026
J Arunkumar,powerplay,23,23,100.0,122.5606436203991,2818.8948032691796,2008
J Botha,powerplay,45,52,86.53846153846155,117.07781501719434,6088.046380894106,2013
J Fraser-McGurk,powerplay,292,142,205.6338028169014,159.10451130340354,22592.840605083304,2025
JC Buttler,powerplay,1747,1236,141.3430420711974,139.14620566683925,171984.7102042133,2026
JD Ryder,powerplay,432,323,133.74613003095973,130.53710484410615,42163.484864646285,2012
JEC Franklin,powerplay,79,92,85.86956521739131,112.60703940504182,10359.847625263847,2012
JG Bethell,powerplay,54,29,186.20689655172413,133.11705495199556,3860.3945936078712,2025
JH Kallis,powerplay,1030,975,105.64102564102565,108.90446180277522,106181.85025770584,2014
JJ Roy,powerplay,380,288,131.94444444444443,129.23026979140167,37218.31769992368,2023
JM Bairstow,powerplay,944,623,151.52487961476726,145.25454805531416,90493.58343846072,2025
JM Sharma,powerplay,13,23,56.52173913043478,117.97348765709634,2713.390216113216,2025
JP Duminy,powerplay,235,239,98.32635983263597,110.41064587384102,26388.144363848005,2018
