bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
B Kumar,powerplay,2614,2339,85,6.705429670799488,27.51764705882353,6.794143516786593,4126.7322150081245,2025
Sandeep Sharma,powerplay,2007,1690,66,7.125443786982248,25.606060606060606,7.200174809058814,2387.1963607644057,2025
TA Boult,powerplay,1980,1612,73,7.369727047146402,22.08219178082192,7.4207121352765775,2122.4349742507065,2025
JJ Bumrah,powerplay,1314,1144,43,6.891608391608392,26.6046511627907,7.0314958252389586,1775.3786016996664,2025
R Ashwin,powerplay,1502,1252,54,7.198083067092652,23.185185185185187,7.285351507659202,1763.9681483091404,2025
I Sharma,powerplay,1942,1521,60,7.660749506903353,25.35,7.680610336502708,1429.7342874458025,2025
SP Narine,powerplay,1071,924,28,6.954545454545454,33.0,7.110614225196761,1226.238853657952,2025
UT Yadav,powerplay,1926,1452,61,7.958677685950414,23.80327868852459,7.9432992670224944,1057.8880893029593,2024
DL Chahar,powerplay,2020,1503,68,8.063872255489022,22.102941176470587,8.036600345931392,1051.962554310635,2025
Mohammed Shami,powerplay,1957,1478,56,7.944519621109607,26.392857142857142,7.9310669780221446,973.0645820886425,2025
JC Archer,powerplay,602,546,23,6.615384615384615,23.73913043478261,6.941461647615496,946.043902702706,2025
JD Unadkat,powerplay,1048,810,28,7.762962962962963,28.928571428571427,7.776564741704119,604.6206351603614,2025
JR Hazlewood,powerplay,606,486,24,7.481481481481482,20.25,7.583571995803441,600.5668556039466,2025
MM Sharma,powerplay,1168,858,38,8.167832167832168,22.57894736842105,8.104282031305445,526.0833864697045,2025
Mustafizur Rahman,powerplay,561,462,17,7.285714285714286,27.176470588235293,7.450650134624109,516.0228366735413,2025
AR Patel,powerplay,803,612,21,7.872549019607843,29.142857142857142,7.862475848671378,401.1357713238659,2025
PP Chawla,powerplay,576,437,21,7.908466819221968,20.80952380952381,7.884349119499467,396.97133500846763,2024
YS Chahal,powerplay,538,404,19,7.990099009900991,21.263157894736842,7.937633094571457,337.1836158178744,2025
CV Varun,powerplay,478,372,15,7.709677419354839,24.8,7.752325855106923,329.5093056655822,2025
KH Pandya,powerplay,724,546,18,7.956043956043956,30.333333333333332,7.922694891583324,310.2905514962716,2025
WD Parnell,powerplay,490,372,16,7.903225806451613,23.25,7.878199980981049,302.68413084040736,2023
Rashid Khan,powerplay,468,349,16,8.045845272206304,21.8125,7.967814916431985,272.4791231816613,2025
TG Southee,powerplay,863,636,21,8.141509433962264,30.285714285714285,8.067380848231053,270.0764179303387,2023
Mohammad Nabi,powerplay,179,168,7,6.392857142857143,24.0,7.174810840003152,250.3493057412448,2024
AD Russell,powerplay,584,407,23,8.60933660933661,17.695652173913043,8.353097840397298,247.77152081986006,2025
KK Ahmed,powerplay,1278,900,37,8.52,24.324324324324323,8.394845808291963,233.1255235824529,2025
K Rabada,powerplay,1172,819,36,8.586080586080586,22.75,8.438008232699863,223.39420086996233,2025
C Sakariya,powerplay,227,198,6,6.878787878787879,33.0,7.357614043017989,213.85950471238652,2025
