bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
A Chandila,powerplay,139,144,10,5.791666666666667,14.4,6.781985895441947,60.45426904758881,2013
A Choudhary,powerplay,45,36,3,7.5,12.0,7.511226054349871,4.912646714797063,2017
A Kamboj,powerplay,281,186,10,9.064516129032258,18.6,8.27058587547197,49.57327161258729,2026
A Kumble,powerplay,85,108,3,4.722222222222222,36.0,6.518459467177625,5.660846736226931,2010
A Mishra,powerplay,164,138,6,7.130434782608695,23.0,7.354634289954414,20.068978848017586,2021
A Mithun,powerplay,94,66,1,8.545454545454547,66.0,7.774303519367128,0.5273784320082427,2013
A Nehra,powerplay,1338,1093,45,7.344922232387923,24.288888888888888,7.370413989561195,1126.463182632472,2017
A Nortje,powerplay,608,444,22,8.216216216216216,20.181818181818183,8.001710827159343,247.99696500710388,2025
A Singh,powerplay,291,264,13,6.613636363636363,20.307692307692307,6.995845792058431,99.04449305994831,2012
A Symonds,powerplay,105,114,5,5.526315789473684,22.8,6.780236953251844,15.117465762142775,2010
A Zampa,powerplay,43,42,3,6.142857142857142,14.0,7.270435521328356,5.075349322850212,2023
AA Chavan,powerplay,159,144,3,6.625,48.0,7.135968196326902,5.170987171578699,2013
AA Jhunjhunwala,powerplay,45,30,0,9.0,999.0,7.7115254157992,0.0,2012
AB Agarkar,powerplay,280,180,6,9.333333333333334,30.0,8.38691524947952,17.598842436038666,2013
AB Dinda,powerplay,946,810,36,7.007407407407407,22.5,7.105565391596836,747.8081907857684,2017
AB McDonald,powerplay,63,42,3,9.0,14.0,7.776764635252405,4.7449037910612235,2012
AC Thomas,powerplay,190,180,8,6.333333333333334,22.5,6.946915249479519,37.7721608191002,2012
AD Mascarenhas,powerplay,206,168,12,7.357142857142858,14.0,7.44102815028876,79.34387400175183,2013
AD Mathews,powerplay,182,126,6,8.666666666666666,21.0,7.966022487709719,18.52869486970729,2015
AD Russell,powerplay,547,407,23,8.063882063882064,17.695652173913043,7.885536907898372,275.0478534730551,2025
AF Milne,powerplay,149,96,3,9.3125,32.0,8.106849548298351,4.551706526704372,2022
AG Murtaza,powerplay,51,78,3,3.9230769230769234,26.0,6.487520947087253,5.687842906552348,2013
AJ Hosein,powerplay,48,30,0,9.600000000000001,999.0,7.7915254157992,0.0,2026
AJ Tye,powerplay,253,192,13,7.90625,14.76923076923077,7.708251210735969,89.89068740195393,2022
AK Markram,powerplay,57,42,1,8.142857142857142,42.0,7.62486590107519,0.537714374677967,2025
AL Menaria,powerplay,52,48,1,6.5,48.0,7.313140817098025,0.5606346305289588,2012
